PLAYER_NAME,TEAM_ABBREVIATION,MIN,PTS_per_min,AST_per_min,STL_per_min,BLK_per_min,TREB_per_min,TOV_per_min,FG_PCT,PLUS_MINUS_per_min,CLUTCH_SCORE,PLAYER_ID
Onyeka Okongwu,ATL,3.6,0.4166666666666666,0.0555555555555555,0.0277777777777777,0.0555555555555555,0.361111111111111,0.0277777777777777,0.6,0.2777777777777778,0.277361111111111,1630168
P.J. Washington,DAL,3.1,0.6451612903225806,0.0967741935483871,0.032258064516129,0.0,0.2580645161290322,0.032258064516129,0.481,0.0967741935483871,0.3005193548387097,1629023
Paolo Banchero,ORL,3.9,0.8205128205128206,0.0769230769230769,0.0,0.0,0.2307692307692307,0.0769230769230769,0.468,-0.1025641025641025,0.3211589743589743,1631094
Pascal Siakam,IND,4.1,0.4390243902439025,0.0975609756097561,0.048780487804878,0.024390243902439,0.1463414634146341,0.048780487804878,0.488,0.3902439024390244,0.2542878048780488,1627783
Paul George,PHI,3.5,0.3714285714285714,0.0571428571428571,0.0285714285714285,0.0,0.1142857142857143,0.0571428571428571,0.35,-0.1142857142857143,0.1571428571428571,202331
Pelle Larsson,MIA,3.7,0.1351351351351351,0.0,0.0,0.0,0.1351351351351351,0.027027027027027,0.2,-0.1891891891891891,0.0605405405405405,1641796
Precious Achiuwa,NYK,3.7,0.3513513513513513,0.0,0.027027027027027,0.054054054054054,0.2702702702702702,0.0,0.545,0.5945945945945946,0.2659864864864865,1630173
Quenton Jackson,IND,5.2,0.4615384615384615,0.0384615384615384,0.0769230769230769,0.0,0.1153846153846153,0.0,0.333,0.5769230769230769,0.256376923076923,1631245
RJ Barrett,TOR,3.8,0.7894736842105263,0.1842105263157894,0.0,0.0,0.1842105263157894,0.0789473684210526,0.411,-0.4210526315789474,0.2779421052631577,1629628
Rudy Gobert,MIN,3.2,0.25,0.03125,0.0,0.03125,0.2812499999999999,0.0625,0.615,-0.34375,0.14665625,203497
Scottie Barnes,TOR,3.3,0.6363636363636365,0.0606060606060606,0.0,0.0,0.2424242424242424,0.0606060606060606,0.429,-0.3636363636363636,0.2368393939393939,1630567
Shaedon Sharpe,POR,3.6,0.6944444444444444,0.0555555555555555,0.0277777777777777,0.0,0.1666666666666666,0.0833333333333333,0.422,-0.0555555555555555,0.2734499999999999,1631101
Spencer Dinwiddie,DAL,3.1,0.5483870967741935,0.0967741935483871,0.032258064516129,0.032258064516129,0.1290322580645161,0.064516129032258,0.359,0.2258064516129032,0.2536419354838709,203915
