PLAYER_NAME,TEAM_ABBREVIATION,MIN,PTS_per_min,AST_per_min,STL_per_min,BLK_per_min,TREB_per_min,TOV_per_min,FG_PCT,PLUS_MINUS_per_min,CLUTCH_SCORE
Derrick White,BOS,4.1,0.5121951219512195,0.12195121951219513,0.0,0.02439024390243903,0.12195121951219515,0.04878048780487806,0.567,0.4634146341463415,0.2865780487804878
Desmond Bane,ORL,3.5,0.5428571428571428,0.1142857142857143,0.028571428571428574,0.028571428571428574,0.17142857142857143,0.08571428571428572,0.404,0.17142857142857143,0.25754285714285713
Devin Booker,PHX,3.0,0.6333333333333333,0.16666666666666666,0.06666666666666667,0.0,0.16666666666666666,0.03333333333333333,0.333,0.09999999999999999,0.2783
Devin Vassell,SAS,3.8,0.39473684210526316,0.07894736842105263,0.026315789473684213,0.0,0.13157894736842107,0.052631578947368425,0.381,-0.3684210526315789,0.14665263157894737
Dillon Brooks,HOU,3.4,0.29411764705882354,0.029411764705882356,0.029411764705882356,0.029411764705882356,0.14705882352941177,0.029411764705882356,0.314,0.20588235294117646,0.168164705882353
Domantas Sabonis,SAC,3.9,0.46153846153846156,0.07692307692307693,0.0,0.025641025641025644,0.38461538461538464,0.05128205128205129,0.793,0.2820512820512821,0.3107102564102564
Dorian Finney-Smith,LAL,3.5,0.17142857142857143,0.05714285714285715,0.028571428571428574,0.028571428571428574,0.14285714285714288,0.028571428571428574,0.25,0.05714285714285715,0.11214285714285714
Draymond Green,GSW,3.0,0.2333333333333333,0.19999999999999998,0.03333333333333333,0.03333333333333333,0.3333333333333333,0.09999999999999999,0.267,0.2333333333333333,0.19003333333333333
Dyson Daniels,ATL,3.8,0.3684210526315789,0.07894736842105263,0.07894736842105263,0.026315789473684213,0.15789473684210525,0.052631578947368425,0.5,0.13157894736842105,0.21052631578947367
Eric Gordon,PHI,4.5,0.3333333333333333,0.022222222222222223,0.022222222222222223,0.06666666666666667,0.0,0.0,0.5,-0.4,0.11888888888888888
Evan Mobley,CLE,3.0,0.3666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.3,0.03333333333333333,0.667,0.8333333333333334,0.31170000000000003
Franz Wagner,ORL,3.2,0.65625,0.09374999999999999,0.03125,0.0,0.15625,0.09374999999999999,0.357,-0.15625,0.24741874999999997
Fred VanVleet,HOU,3.7,0.43243243243243246,0.10810810810810811,0.02702702702702703,0.02702702702702703,0.1081081081081081,0.02702702702702703,0.271,0.18918918918918917,0.20547837837837843
Gary Trent Jr.,MIL,3.1,0.3870967741935484,0.0,0.03225806451612903,0.0,0.0967741935483871,0.03225806451612903,0.345,0.3225806451612903,0.19820967741935483
Giannis Antetokounmpo,MIL,4.0,0.725,0.2,0.0,0.05,0.45,0.05,0.467,0.55,0.40795
Gradey Dick,TOR,4.2,0.21428571428571427,0.047619047619047616,0.023809523809523808,0.0,0.09523809523809523,0.047619047619047616,0.3,-0.42857142857142855,0.06988095238095236
Grant Williams,CHA,5.2,0.36538461538461536,0.07692307692307693,0.019230769230769232,0.05769230769230769,0.17307692307692307,0.019230769230769232,0.25,0.07692307692307693,0.18076923076923077
Guerschon Yabusele,PHI,3.7,0.27027027027027023,0.05405405405405406,0.05405405405405406,0.0,0.18918918918918917,0.02702702702702703,0.286,-0.3243243243243243,0.11373513513513511
Haywood Highsmith,MIA,3.2,0.21874999999999997,0.03125,0.0625,0.03125,0.09375,0.0,0.5,-0.53125,0.08671874999999998
Herbert Jones,NOP,4.3,0.3023255813953489,0.13953488372093023,0.023255813953488375,0.06976744186046512,0.23255813953488372,0.023255813953488375,1.0,-0.20930232558139536,0.2244186046511628
Immanuel Quickley,TOR,3.8,0.5526315789473685,0.07894736842105263,0.052631578947368425,0.0,0.026315789473684213,0.0,0.333,-0.3684210526315789,0.1780368421052632
Isaiah Collier,UTA,3.1,0.2903225806451613,0.12903225806451613,0.0,0.0,0.0967741935483871,0.0967741935483871,0.429,-1.032258064516129,0.0493516129032258
Isaiah Hartenstein,OKC,3.0,0.43333333333333335,0.13333333333333333,0.03333333333333333,0.06666666666666667,0.3,0.03333333333333333,0.625,0.7999999999999999,0.33666666666666667
Ivica Zubac,LAC,3.4,0.4117647058823529,0.029411764705882356,0.0,0.11764705882352942,0.35294117647058826,0.029411764705882356,0.571,0.0,0.24386470588235293
Ja Morant,MEM,3.8,0.8947368421052632,0.18421052631578946,0.026315789473684213,0.0,0.07894736842105263,0.07894736842105263,0.463,0.2631578947368421,0.3693263157894736
Jaden Ivey,DET,4.0,0.675,0.125,0.0,0.025,0.15,0.075,0.478,-0.375,0.24592499999999998
Jaden McDaniels,MIN,3.6,0.3055555555555556,0.05555555555555556,0.0,0.0,0.16666666666666669,0.02777777777777778,0.404,-0.3055555555555556,0.13067777777777778
Jakob Poeltl,TOR,3.1,0.2258064516129032,0.03225806451612903,0.0,0.03225806451612903,0.3225806451612903,0.06451612903225806,0.375,-0.12903225806451613,0.1431451612903226
Jalen Brunson,NYK,4.8,1.1666666666666667,0.20833333333333334,0.020833333333333336,0.0,0.08333333333333334,0.0625,0.515,0.16666666666666669,0.44993750000000005
Jalen Green,HOU,3.0,0.7000000000000001,0.09999999999999999,0.03333333333333333,0.0,0.13333333333333333,0.09999999999999999,0.371,0.3333333333333333,0.30793333333333334
Jalen Johnson,ATL,4.4,0.3863636363636363,0.045454545454545456,0.045454545454545456,0.022727272727272728,0.25,0.06818181818181818,0.5,0.3181818181818181,0.2414772727272727
Jamal Murray,DEN,3.5,0.7428571428571429,0.2285714285714286,0.05714285714285715,0.028571428571428574,0.14285714285714288,0.028571428571428574,0.548,0.6,0.3869428571428572
